M_feature,mz,rt
FT420,557.2943554,139.2272451
FT421,558.2570946,723.8274572
FT422,558.2775727,536.7615804
FT423,559.2631933,721.3499894
FT424,559.281038,536.467051
FT425,560.2568873,348.0259377
FT426,560.2763998,803.6472304
FT427,560.2841606,542.7496118
FT428,561.1603102,642.2328465
FT429,568.8315878,45.42415378
FT430,568.9972653,41.60780556
FT431,569.2582413,569.4515499
FT432,569.2573327,478.0835551
FT433,569.2941062,497.6518004
FT434,570.259801,569.4515499
FT435,570.2617827,484.1125321
FT436,570.2982183,497.0662339
FT437,570.9571332,43.037
FT438,571.308499,1789.159419
FT439,572.1131301,139.6800783
FT440,573.2604959,377.8691229
FT441,574.335563,761.918449
FT442,575.2324077,73.14315698
FT443,575.3423298,765.704651
FT444,576.2353522,646.618842
FT445,576.2713144,313.8324159
FT446,577.2748614,313.8324159
FT447,580.2029132,378.8954094
FT448,580.3106771,115.8515647
FT449,581.2071052,383.7706155
FT450,581.3139145,115.5756793
FT451,582.3042744,1397.460917
FT452,583.3105218,643.7059346
FT453,584.3135213,645.0167799
FT454,584.9709406,41.60780556
FT455,585.1354537,41.00233333
FT456,586.2837436,121.9113549
FT457,587.2706495,188.3430302
FT458,588.1987237,618.8734857
FT459,588.8984366,41.60780556
FT460,590.4764221,1807.665708
FT461,592.2306237,219.4031859
FT462,595.2737807,795.4747579
FT463,597.1946212,216.4002588
FT464,601.1089308,41.00233333
FT465,601.2126886,100.9749595
FT466,601.2999226,507.5439298
FT467,602.1961126,162.4768819
FT468,602.2839333,686.0354476
FT469,602.3031286,510.7242747
FT470,603.2525343,1790.184206
FT471,603.2867374,686.0354476
FT472,604.1947211,159.4429495
FT473,604.2471966,312.873547
FT474,604.2900948,690.381065
FT475,604.8717001,42.21030556
FT476,605.2506145,313.5400832
FT477,605.8764569,43.037
FT478,606.8708412,43.037
FT479,606.9969615,41.00233333
FT480,613.267677,238.9871575
FT481,617.3130307,581.7999412
FT482,618.2643087,108.2589401
FT483,618.3214176,577.9356155
FT484,620.8459546,42.77090278
FT485,621.01071,40.25956944
FT486,621.3483283,1693.88361
FT487,621.4375413,2111.033854
FT488,622.3522177,1694.282831
FT489,622.8440352,43.037
FT490,622.9683743,40.53490278
FT491,624.3155996,1490.057951
FT492,625.3183244,1493.133631
FT493,626.2961486,1397.663949
FT494,626.3157596,692.0145822
FT495,628.3110116,616.1118741
FT496,629.3120852,614.9479381
FT497,633.2893681,521.0995339
FT498,633.3280572,920.2431496
FT499,634.3267091,978.4368012
FT500,636.8210358,43.51008333
FT501,636.9843761,41.60780556
FT502,637.986728,41.00233333
FT503,638.283217,879.263052
FT504,638.945322,43.037
FT505,639.1074863,41.00233333
FT506,640.2972309,639.484955
FT507,640.3324259,764.8506219
FT508,641.331582,767.8337717
FT509,642.1977722,161.8998451
FT510,649.3814736,1757.908567
FT511,650.3886407,807.7203551
FT512,650.3850039,1757.908567
FT513,651.3885098,806.2660949
FT514,651.3886489,1756.348639
FT515,652.9579886,41.60780556
FT516,652.9663506,42.50480556
FT517,653.1224691,41.00233333
FT518,655.0818722,41.00233333
FT519,655.2587185,725.7200905
FT520,656.8854861,41.60780556
FT521,657.3247609,838.6138938
FT522,657.3270234,935.0088695
FT523,658.3052475,478.083545
FT524,658.3303394,934.1266052
FT525,660.3108828,457.0110465
FT526,663.3003772,607.5048853
FT527,663.3956682,1784.61283
FT528,664.3038425,607.7965366
FT529,666.3470051,929.1928545
FT530,667.3490114,929.1185072
FT531,668.9329878,43.037
FT532,669.0969639,41.00233333
FT533,672.3368785,625.5544019
FT534,672.8596993,41.60780556
FT535,672.868497,42.50480556
FT536,673.2696178,240.4211813
FT537,673.3396465,625.5544019
FT538,674.27273,239.2739373
FT539,674.9833173,43.037
