M_feature,mz,rt
FT0339,345.6982975,565.887
FT0340,346.1313738,653.862
FT0341,346.1933217,548.558
FT0342,346.2294092,613.925
FT0343,346.4969347,618.874
FT0344,346.6849925,578.827
FT0345,347.123113,568.5379028
FT0346,347.1726948,567.2076211
FT0347,347.201097,546.0385132
FT0348,348.1117088,651.332
FT0349,348.1163251,563.407
FT0350,348.1876027,584.0252075
FT0351,348.1966615,545.9971924
FT0352,348.520871,584.0106038
FT0353,348.6174665,653.9019167
FT0354,348.6639934,638.843
FT0355,349.1276068,565.9122925
FT0356,349.6171166,651.332
FT0357,350.2007687,571.0059814
FT0358,350.6762594,641.2059326
FT0359,351.1983016,604.025
FT0360,352.1821586,567.2114258
FT0361,352.2044919,604.0535278
FT0362,352.6653858,582.7159902
FT0363,354.6513062,621.4684746
FT0364,355.1916037,606.3075012
FT0365,355.2202414,613.925
FT0366,355.6414444,610.1895203
FT0367,355.7192677,611.404
FT0368,355.8420621,571.0059814
FT0369,356.1725616,576.237
FT0370,356.6803572,573.7163086
FT0371,357.6742993,648.792
FT0372,357.7033678,578.827
FT0373,358.081879,568.5379028
FT0374,358.1568854,623.7314453
FT0375,358.1727476,653.8887329
FT0376,358.6199015,618.9631348
FT0377,359.0818957,623.7314453
FT0378,359.1122429,551.1182861
FT0379,359.1597223,623.904
FT0380,359.2243902,631.303
FT0381,359.6193481,618.9631348
FT0382,360.1950197,623.9585308
FT0383,361.1229163,618.9631348
FT0384,361.194652,638.9508972
FT0385,362.1910569,624.0130615
FT0386,362.6619026,628.6539917
FT0387,362.6969712,563.4282227
FT0388,363.1784414,584.0252075
FT0389,363.202855,597.5095215
FT0390,364.2344547,651.4019775
FT0391,365.174001,641.3143311
FT0392,365.5201034,618.6981812
FT0393,365.8528096,621.2047119
FT0394,365.854807,599.2137451
FT0395,366.1367915,636.2733154
FT0396,366.6827177,565.9122925
FT0397,366.6885463,648.792
FT0398,367.2291001,591.4299316
FT0399,368.1751682,554.8097068
FT0400,369.1205946,569.7580837
FT0401,369.2116632,606.4644385
FT0402,369.6339538,641.323
FT0403,369.7249066,638.7496948
FT0404,370.1338798,641.3728647
FT0405,370.1820715,601.4244177
FT0406,371.1845125,601.644104
FT0407,371.6805548,604.0535278
FT0408,372.178406,611.4540405
FT0409,372.4500324,581.4407014
FT0410,372.6753665,574.9766543
FT0411,373.1797168,612.6369019
FT0412,373.2423318,548.5532615
FT0413,373.2428718,616.4489788
FT0414,375.200092,637.6178086
FT0415,375.5269554,548.5485229
FT0416,375.6730068,591.736
FT0417,376.6823124,648.792
FT0418,376.7333392,616.404
FT0419,377.1432393,594.326
FT0420,378.1268042,560.978
FT0421,378.5213033,601.644104
FT0422,378.6294995,569.7928772
FT0423,379.1872554,601.4244177
FT0424,379.6804774,643.773
FT0425,379.6863052,601.605
FT0426,380.1904034,601.4439697
FT0427,380.6928977,604.0535278
FT0428,381.1840079,618.830658
FT0429,381.6988459,633.8528442
FT0430,382.1945906,604.025
FT0431,383.6360755,604.0535278
FT0432,383.6870019,565.9302673
FT0433,384.0523256,594.326
FT0434,384.6826392,591.793335
FT0435,385.1739246,578.8857422
FT0436,385.2435585,594.326
FT0437,385.6972728,621.414
FT0438,386.2011332,620.1885674
FT0439,386.2448065,594.326
FT0440,387.2460329,594.326
FT0441,388.1289618,638.7496948
FT0442,388.6849664,628.6539917
FT0443,389.1854982,621.224823
FT0444,389.2388389,581.2134399
FT0445,389.6469776,604.0535278
FT0446,389.6860098,628.6539917
FT0447,389.847248,548.5485229
FT0448,390.1744526,548.5485229
FT0449,390.6373751,603.6900024
FT0450,390.7520779,563.4176113
FT0451,390.863294,653.8668936
FT0452,391.1419309,604.025
FT0453,391.2315381,597.7680054
FT0454,391.6927807,608.9639282
FT0455,392.5334952,565.887
FT0456,392.7299869,568.5194397
FT0457,393.184816,594.326
FT0458,393.6860091,594.326
FT0459,394.1943022,623.904
FT0460,394.6970212,586.546
FT0461,394.7121804,624.0130615
FT0462,395.209645,606.455
FT0463,395.2592992,652.5968936
FT0464,395.5294298,583.996
FT0465,395.6662725,581.30972
FT0466,396.2122872,606.3200989
FT0467,396.3953418,631.3016357
FT0468,396.691216,543.459
FT0469,397.0933893,568.5379028
FT0470,397.5285901,578.827
FT0471,397.701879,556.1472168
FT0472,398.6747929,594.326
FT0473,398.7015199,626.383
FT0474,399.1652059,646.252
FT0475,399.2016698,623.904
FT0476,399.2568884,641.2644663
FT0477,400.2156601,606.3200989
FT0478,400.2618556,546.0385132
FT0479,400.2596201,641.323
FT0480,400.6921115,646.3231812
FT0481,400.710456,573.7163086
FT0482,400.9540182,565.9482422
FT0483,401.2614602,641.323
FT0484,401.2706705,653.862
FT0485,401.6974308,638.7496948
FT0486,401.7037535,626.4831543
FT0487,402.1409482,568.4846462
FT0488,402.1952224,576.0996094
FT0489,402.5299081,626.383
FT0490,402.6928256,646.2280884
FT0491,403.2286966,636.2733154
FT0492,403.7056483,631.1896973
FT0493,403.8713992,581.4754028
FT0494,404.2096022,646.252
FT0495,404.5856589,571.057
FT0496,404.6939601,577.5615103
FT0497,405.1072142,581.406
FT0498,405.1823053,646.2756348
FT0499,405.4398956,581.406
FT0500,405.6437285,604.025
FT0501,405.6991106,633.7164307
FT0502,406.1478218,604.0392639
FT0503,406.6506799,601.644104
FT0504,407.1541831,586.0572815
FT0505,407.1886715,638.843
FT0506,407.2008098,559.7733018
FT0507,407.7133802,633.8210442
FT0508,408.2100611,596.3545979
FT0509,408.5332174,626.383
FT0510,408.7247753,614.013855
FT0511,408.8674106,626.383
FT0512,409.5478894,576.2665103
FT0513,409.6922195,573.5528564
FT0514,409.6975538,651.3317871
FT0515,409.8855944,573.7163086
FT0516,410.119706,623.904
FT0517,410.1882398,548.5485229
FT0518,411.0667973,623.904
FT0519,411.124629,622.6088867
FT0520,411.1851923,604.025
FT0521,411.6874086,626.383
FT0522,411.7069718,578.827
FT0523,413.0574039,565.887
FT0524,413.271058,553.6880493
FT0525,413.9489681,618.9631348
FT0526,414.1949468,648.8620605
FT0527,414.2739318,553.628
FT0528,414.6924325,646.3231812
FT0529,415.2137952,616.2116699
FT0530,415.2261801,556.108
FT0531,415.7249658,618.874
FT0532,416.2081007,583.7693481
FT0533,416.2277681,617.5874023
FT0534,416.5512884,643.8329111
FT0535,416.6994515,578.6564941
FT0536,416.7174715,646.2280884
FT0537,416.888675,646.3231812
FT0538,417.2183599,568.5379028
FT0539,418.2005759,548.558
FT0540,418.7018868,643.773
FT0541,419.2051933,645.0127869
FT0542,419.6423991,591.7646675
FT0543,419.7031443,646.2790171
FT0544,419.7159749,581.3444214
FT0545,420.1453982,591.7646675
FT0546,421.1981485,646.252
FT0547,422.2043265,648.8620605
FT0548,423.2233084,585.1871643
FT0549,423.5443662,601.644104
FT0550,424.1467861,552.3731431
FT0551,424.2078113,565.9482422
FT0552,424.4557006,564.6576113
FT0553,424.7050025,563.3665161
FT0554,424.9613394,565.9482422
FT0555,425.2708378,646.252
FT0556,426.2204072,546.029
FT0557,426.2695835,651.332
FT0558,426.5592946,543.4588013
FT0559,427.1463324,623.904
FT0560,427.2484155,589.146
FT0561,427.4551989,587.8703206
FT0562,427.5431797,638.7963474
FT0563,427.7035728,608.9639282
FT0564,427.8741649,641.2059326
FT0565,427.9519685,608.8101807
FT0566,428.1459422,623.904
FT0567,428.2452323,560.978
FT0568,428.7184518,651.332
FT0569,429.7215567,586.4656067
FT0570,429.7574689,584.0252075
FT0571,430.168223,638.8208313
FT0572,430.2035151,560.9879761
FT0573,430.2654827,651.3317871
FT0574,430.5476007,543.4589006
FT0575,430.7031332,560.9879761
FT0576,431.2493597,643.8928223
FT0577,431.5515525,543.4523315
FT0578,431.6951246,628.6539917
FT0579,432.718479,573.7163086
FT0580,436.2151909,651.3317871
FT0581,436.2454844,623.7006836
